target,model,threshold,precision,recall,f1,predicted_delayed_rate,actual_delayed_rate,difference_from_actual_rate
delayed_top25,logistic_regression,0.1,0.26440017323516674,0.9995906672124437,0.4181864885692268,0.9991453823602592,0.2642823916312379,0.7348629907290213
delayed_top25,logistic_regression,0.2,0.2708438407137173,0.9891731477691363,0.42525054332045786,0.9652094895011846,0.2642823916312379,0.7009270978699467
delayed_top25,logistic_regression,0.3,0.27851479566745435,0.9504502660663119,0.4307924934368593,0.9018812406019104,0.2642823916312379,0.6375988489706725
delayed_top25,logistic_regression,0.4,0.28128963652902517,0.8987106017191977,0.4284710634934574,0.8443730460087192,0.2642823916312379,0.5800906543774813
delayed_top25,logistic_regression,0.5,0.2825977327521294,0.8372492836676217,0.42256620028200004,0.7829866182022739,0.2642823916312379,0.518704226571036
delayed_top25,logistic_regression,0.6,0.28699708012589586,0.7744985673352436,0.4188030877348311,0.713200056253313,0.2642823916312379,0.44891766462207505
delayed_top25,logistic_regression,0.7,0.2994499336126774,0.7108473188702416,0.4213872341458088,0.6273650731833966,0.2642823916312379,0.3630826815521587
delayed_top25,logistic_regression,0.8,0.32349730285127154,0.6186041751944331,0.4248306299721699,0.5053711095965988,0.2642823916312379,0.2410887179653609
delayed_top25,logistic_regression,0.9,0.3693089813594427,0.401432664756447,0.38470138275963517,0.28727052434578476,0.2642823916312379,0.02298813271454686
delayed_top25,random_forest,0.1,0.2642823916312379,1.0,0.41807493860647393,1.0,0.2642823916312379,0.7357176083687621
delayed_top25,random_forest,0.2,0.2642823916312379,1.0,0.41807493860647393,1.0,0.2642823916312379,0.7357176083687621
delayed_top25,random_forest,0.3,0.26731090366558075,0.9992427343430209,0.42178786635277854,0.9879217646231568,0.2642823916312379,0.7236393729919189
delayed_top25,random_forest,0.4,0.2734665740034973,0.9986287351616865,0.4293571038876472,0.9650904921083092,0.2642823916312379,0.7008081004770713
delayed_top25,random_forest,0.5,0.28297750045923475,0.9773843634875153,0.43888631047840493,0.9128127738292279,0.2642823916312379,0.64853038219799
delayed_top25,random_forest,0.6,0.28674064736555693,0.8519647973802702,0.4290713435343472,0.7852367507220979,0.2642823916312379,0.52095435909086
delayed_top25,random_forest,0.7,0.3370814207818613,0.6718379042161277,0.44892405106569205,0.5267419595625223,0.2642823916312379,0.26245956793128444
delayed_top25,random_forest,0.8,0.5070476678626346,0.24295947605403193,0.32850896612796104,0.12663486190893455,0.2642823916312379,0.13764752972230335
delayed_top25,random_forest,0.9,0.0,0.0,0.0,0.0,0.2642823916312379,0.2642823916312379
