complaint_count,actual_delayed_rate,predicted_delayed_rate,false_positive_rate,false_negative_rate,precision,recall,zip_code
9455,0.5989423585404547,0.528609201480698,0.377373417721519,0.3701218435458238,0.7136854741896759,0.6298781564541762,19134
8555,0.5706604324956166,0.5707773232028054,0.49959161448407297,0.37566571077427285,0.6242064304730698,0.6243342892257272,19143
8364,0.6209947393591583,0.650286944045911,0.5504731861198738,0.28879476318829417,0.6791689648832506,0.7112052368117058,19140
8339,0.5944357836671064,0.4678018947115961,0.3645771732702543,0.4617712326003631,0.6839271981543195,0.5382287673996369,19132
7981,0.5734870317002881,0.5550682871820574,0.4500587544065805,0.36683417085427134,0.6541760722347629,0.6331658291457286,19124
7611,0.557088424648535,0.3295230587307844,0.19311776920795015,0.5620283018867924,0.7404306220095693,0.4379716981132076,19121
6739,0.5972696245733788,0.5100163228965722,0.4123065585851142,0.42409937888198757,0.6744253709630492,0.5759006211180124,19139
6635,0.6319517709118312,0.6640542577241899,0.5634725634725635,0.2773670403052707,0.6876985928279619,0.7226329596947293,19144
6409,0.5387735996255266,0.34950850366671865,0.2554127198917456,0.5699391833188532,0.6629464285714286,0.4300608166811468,19146
6033,0.5319078402121664,0.37294878170064644,0.2871813031161473,0.5515736989716422,0.6395555555555555,0.44842630102835773,19104
