accuracy,precision,recall,f1,roc_auc,actual_delayed_rate,predicted_delayed_rate,tn,fp,fn,tp,model,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,best_f1_predicted_delayed_rate
0.5361211177100574,0.5361211177100574,1.0,0.6980193313262557,,0.5361211177100574,1.0,0,85761,0,99117,majority_baseline,,,,,
0.584358333603782,0.5680795657383182,0.9375889100759708,0.7074931957899545,0.6454034430159796,0.5361211177100574,0.8848429775311286,15104,70657,6186,92931,logistic_regression,0.4,0.7097080395900799,0.5560787230390755,0.980628953660825,0.9454342863942709
0.5845963283895326,0.5650981810544984,0.9773096441579144,0.7161217587373168,0.687849076628706,0.5361211177100574,0.9271952314499291,11211,74550,2249,96868,random_forest,0.5,0.7161217587373168,0.5650981810544984,0.9773096441579144,0.9271952314499291
